점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정연도,운영여부,데이터기준일자,제공기관코드,제공기관명
CU남악중앙점,전라남도,무안군,46840,전라남도 무안군 삼향읍 남악2로74번길 33,전라남도 무안군 삼향읍 남악리 2094,34.81306921,126.4585125,061-282-3892,남악지구대,2022,Y,2026-05-06,4950000,전라남도 무안군
세븐일레븐 황토골점,전라남도,무안군,46840,전라남도 무안군 무안읍 영산로 3083,전라남도 무안군 무안읍 용월리 91,35.00464778,126.496451,061-450-2121,승달파출소,2022,Y,2026-05-06,4950000,전라남도 무안군
세븐일레븐 펠리시티점,전라남도,무안군,46840,전라남도 무안군 삼향읍 남악3로 39 펠리시티 102-108,전라남도 무안군 삼향읍 남악리 2272 펠리시티 102-108,34.809251,126.459798,061-285-0646,남악지구대,2022,Y,2026-05-06,4950000,전라남도 무안군
세븐일레븐 초당대점,전라남도,무안군,46840,전라남도 무안군 무안읍 무안로 390,전라남도 무안군 무안읍 성남리 397-1,34.98063349,126.4706784,061-454-8806,승달파출소,2022,Y,2026-05-06,4950000,전라남도 무안군
세븐일레븐 지산점,전라남도,무안군,46840,전라남도 무안군 삼향읍 삼향공단길 2,전라남도 무안군 삼향읍 지산리 876-9,34.86903361,126.421911,061-283-2337,남악지구대,2016,Y,2026-05-06,4950000,전라남도 무안군
세븐일레븐 에드가점,전라남도,무안군,46840,전라남도 무안군 삼향읍 남악3로82번가길 37,전라남도 무안군 삼향읍 남악리 2116,34.813993,126.4643066,061-281-4388,남악지구대,2016,Y,2026-05-06,4950000,전라남도 무안군
세븐일레븐무안목포대점,전라남도,무안군,46840,전라남도 무안군 청계면 승달산길 45,전라남도 무안군 청계면 도림리 311-7,34.91074908,126.434068,061-452-5559,청계파출소,2022,Y,2026-05-06,4950000,전라남도 무안군
세븐일래븐 한양프라자점,전라남도,무안군,46840,전라남도 무안군 삼향읍 남악5로26번길 15,전라남도 무안군 삼향읍 남악리 2435,34.8079227,126.472346,061-281-5460,남악지구대,2022,Y,2026-05-06,4950000,전라남도 무안군
미니스톱 남악호반점,전라남도,무안군,46840,전라남도 무안군 삼향읍 남악4로60번길 14,전라남도 무안군 삼향읍 남악리 1578,34.81067217,126.4679848,061-282-8141,남악지구대,2016,Y,2026-05-06,4950000,전라남도 무안군
미니스톱 남악골드점,전라남도,무안군,46840,전라남도 무안군 삼향읍 남악5로72번길 81-21,전라남도 무안군 삼향읍 남악리 2609,34.810631,126.4792651,,남악지구대,2016,Y,2026-05-06,4950000,전라남도 무안군
GS25남악중앙점,전라남도,무안군,46840,전라남도 무안군 삼향읍 남악3로82번길 20 백석프라자,전라남도 무안군 삼향읍 남악리 2179,34.81264588,126.462341,061-284-9598,남악지구대,2022,Y,2026-05-06,4950000,전라남도 무안군
GS25 성남점,전라남도,무안군,46840,전라남도 무안군 무안읍 면성1길 136-3,전라남도 무안군 무안읍 성남리 812-6,34.98635386,126.4722906,061-454-0355,승달파출소,2016,Y,2026-05-06,4950000,전라남도 무안군
GS25 광명점,전라남도,무안군,46840,전라남도 무안군 무안읍 창포로 18,전라남도 무안군 무안읍 교촌리 1039,34.98924465,126.4720214,061-452-2679,승달파출소,2016,Y,2026-05-06,4950000,전라남도 무안군
GS25 터미널점,전라남도,무안군,46840,전라남도 무안군 무안읍 무안로 497-1,전라남도 무안군 무안읍 성동리 873-11,34.98817106,126.4781788,061-454-1753,승달파출소,2022,Y,2026-05-06,4950000,전라남도 무안군
CU무안해제중앙로점,전라남도,무안군,46840,전라남도 무안군 해제면 해제중앙로 6,전라남도 무안군 해제면 양매리 925-125,35.11309361,126.2961352,,해제파출소,2016,Y,2026-05-06,4950000,전라남도 무안군
CU에드가점,전라남도,무안군,46840,전라남도 무안군 삼향읍 남악3로82번길 41,전라남도 무안군 삼향읍 남악리 2139,34.81334056,126.4648768,061-284-7726,남악지구대,2016,Y,2026-05-06,4950000,전라남도 무안군
CU무안청계점,전라남도,무안군,46840,전라남도 무안군 청계면 승달산길 9,전라남도 무안군 청계면 도림리 480-2,34.910145,126.430934,061-452-0244,청계파출소,2022,Y,2026-05-06,4950000,전라남도 무안군
CU남악휴먼시아점,전라남도,무안군,46840,전라남도 무안군 삼향읍 남악4로34번길 7,전라남도 무안군 삼향읍 남악리 2311,34.8094595,126.467117,061-278-9889,남악지구대,2016,Y,2026-05-06,4950000,전라남도 무안군
CU 무안일로점,전라남도,무안군,46840,전라남도 무안군 일로읍 일로중앙로 31,전라남도 무안군 일로읍 월암리 207-51,34.850743,126.490875,061-281-9957,일로파출소,2016,Y,2026-05-06,4950000,전라남도 무안군
CU 중앙점,전라남도,무안군,46840,전라남도 무안군 무안읍 면성1길 113,전라남도 무안군 무안읍 성남리 79-4,34.987916,126.4740972,061-452-9381,승달파출소,2016,Y,2026-05-06,4950000,전라남도 무안군
